iteration;avg_executed;avg_worst;avg_average;avg_best
32;19.54990775565038;-0.32091001872744723;11.32830541666223;19.808415177953748
33;19.55321285382994;-0.32464353428399456;11.424671922757017;19.82026870062982
34;19.558425235401348;-0.32402021782216295;11.51637882678476;19.832634132185802
35;19.562550358482397;-0.3218505645276937;11.612807541695464;19.84419712834833
36;19.56560860091706;-0.31784778413696874;11.704937058260864;19.855043996844984
37;19.569257662844088;-0.31596468523580756;11.79383399589663;19.866218495389337
38;19.571565579219673;-0.30809983752808484;11.880714313353112;19.876903726720318
39;19.573348243961608;-0.3022837044716389;11.963491826365077;19.886951162751387
40;19.57463440456735;-0.29344476279638554;12.052823388546111;19.89674505835873
41;19.577578754991947;-0.2861644719115055;12.13633142752318;19.906197699465583
42;19.57819762024876;-0.27291887993936625;12.211962099899235;19.91469859285214
43;19.578267126900467;-0.2678907311268652;12.289780575236458;19.92171365911289
44;19.580252386834704;-0.25457885357547827;12.37096499410913;19.931132298284172
45;19.584637133177964;-0.2380393655891717;12.452130007119653;19.940307503279893
46;19.584699223090528;-0.22867673494351978;12.526377393339223;19.94723105410357
47;19.58585593640516;-0.2061649066093291;12.599491407384836;19.954130675053214
48;19.588026414149148;-0.18745619672864997;12.67725446499863;19.961568359342174
49;19.590607977860813;-0.16304232734881136;12.751187370721816;19.967822560565608
50;19.5914083323241;-0.14150229657550836;12.826564950078831;19.974452099456972
51;19.590575913845935;-0.10859555570518396;12.900908382280088;19.979332130277474
52;19.590566766126393;-0.06142123245806613;12.975789192391696;19.984963899391516
53;19.59142328583251;-0.0276853891245593;13.049945646127044;19.992136379811964
54;19.589302799863916;0.015600796510771968;13.118125253101724;19.99754252959863
55;19.588835928811978;0.07089529518343399;13.193481312905538;20.001967227986
56;19.588701566912647;0.10514533502011256;13.263222499324101;20.00787206194888
57;19.588064337257922;0.15155593575475262;13.331159302559957;20.013099693858816
58;19.588349754482238;0.22707815017117236;13.405045721532003;20.01859315226126
59;19.590982627152016;0.27182250920423423;13.474127606052846;20.023690371801376
60;19.592673703478653;0.33507144909653797;13.542297587422803;20.02895868785705
61;19.592070875116832;0.3925576071319791;13.611511392879214;20.032852045344356
62;19.591417384020136;0.4626315152159726;13.678402105317664;20.037432223910525
63;19.591229455420653;0.530453062360121;13.742629543966176;20.042639751269505
64;19.593929372099463;0.5904200438828922;13.808084022411247;20.047967970181126
65;19.594341612221644;0.6644002897363318;13.871421906099041;20.05259635590256
66;19.591592237130918;0.7376256013087861;13.934414493448815;20.056622598178212
67;19.594218147247982;0.8195483233435908;13.999766963623417;20.06212816844256
68;19.593979681109253;0.9098923023713462;14.065490610076179;20.066559224754677
69;19.59279330422429;1.0056788157217265;14.130779858464185;20.070163898610854
70;19.593011077635794;1.0911340389703685;14.19363322739014;20.074275206457823
71;19.595218583023417;1.1958839367607932;14.256658362653335;20.07803698850766
72;19.596797306154677;1.2824678997375076;14.32153344498469;20.081834959596822
73;19.595144628412346;1.3890081903767793;14.390337947928879;20.085434741842175
74;19.599462113242662;1.4990614619968574;14.457461229218808;20.089485838619428
75;19.601733224309005;1.6298118302955564;14.526322087719212;20.093240803220116
76;19.60382936090979;1.7275174206354569;14.588095299244756;20.09695681456804
77;19.602525299017465;1.8284624026549214;14.64706775416911;20.1004910820657
78;19.603302392608015;1.9535888046635064;14.709401513330208;20.103756071159104
79;19.60241975387904;2.0706275290227922;14.774434684064483;20.106923509524147
80;19.603018437460292;2.202882770983865;14.839573319076852;20.110537497579482
81;19.602681895041847;2.350200536448039;14.905372110871708;20.112955488507986
82;19.603505423633983;2.474968985273788;14.969265792106263;20.11699021072173
83;19.601761673701514;2.6046958249581915;15.031767132616858;20.12028262434335
84;19.602958719444935;2.7257256474182263;15.091575667177239;20.122188072270582
85;19.60250820284637;2.843533613565237;15.150765361948245;20.125787278129597
86;19.60328553950186;2.973326761561615;15.206383970750387;20.128283798862252
87;19.602429044129874;3.097848523453786;15.265505092351855;20.131055736072767
88;19.60143260914068;3.2338860131273806;15.323547380231052;20.133547613382905
89;19.602708255957303;3.356805544635025;15.38132912959094;20.135841037271756
90;19.603120078179003;3.4883393673704766;15.440365371254934;20.138992954388424
91;19.606205091605617;3.6464476734221734;15.503143862999172;20.142198595071847
92;19.60670648224542;3.804960261353008;15.563234195135385;20.14455855480374
93;19.6092295183081;3.9472979470767324;15.622026371997034;20.14801767888078
94;19.60806842035934;4.088860059765104;15.676413893505769;20.150400316661305
95;19.608453229781567;4.24163922369045;15.734609252747044;20.152889254791095
96;19.609157734942357;4.4041203065199745;15.794492127932113;20.15531277950031
97;19.60968938719846;4.5555397604565115;15.85335745998102;20.157632340442103
98;19.609345983359038;4.697524333761944;15.910194514443251;20.159762212575952
99;19.610383072601145;4.854369819544659;15.96484016263738;20.16162932916942
100;19.611234665992388;5.022662978284883;16.023168719091025;20.164079235791306
