iteration;avg_executed;avg_worst;avg_average;avg_best
0;-34.718419757460914;-34.718419757460914;-34.718419757460914;-34.718419757460914
1;-34.11981496780269;-34.71194275492228;-34.40120868935404;-34.090474623785866
2;-33.39719274391294;-34.60820007281914;-33.971121383718504;-33.327647207220615
3;-32.35713393076263;-34.1849248950294;-33.22705201142084;-32.254413942821245
4;-24.41415445943431;-27.64134807767296;-25.941440903708926;-24.20692667494173
5;-17.75826072582362;-22.395593777403487;-20.0258519929002;-17.60417993573357
6;-15.746361277213747;-21.068963566531625;-18.335913059554237;-15.556170659554924
7;-14.920159715375434;-20.7958028847528;-17.76583465676735;-14.698326108164766
8;-14.275177385001355;-20.60394443265428;-17.328881307350308;-14.025481845667867
9;-13.341719636505045;-20.24273343584192;-16.663307934114975;-13.0647938291815
10;-12.75982282326405;-20.105075366420685;-16.283886703673023;-12.453775407377782
11;-11.884118396244615;-19.77373807189051;-15.582446666690966;-11.372863065311524
12;11.646121903746312;-3.584119187850158;4.029936002505538;11.87459256582879
13;12.080401934882874;-3.421175205156877;4.406462333131243;12.309933657371888
14;12.198632026164468;-3.4506444205586;4.540412988017258;12.453970943154891
15;12.450742570042596;-3.413920024712723;4.765749667702652;12.730060221384802
16;12.733638383510826;-3.3656123693887716;5.011555852425344;13.033026054282708
17;13.02642696227723;-3.286340029106497;5.266407277058774;13.31980274481733
18;13.231488612295166;-3.2939966325269823;5.445074642686622;13.548550474190685
19;13.504617111187583;-3.2320285553968127;5.692920282759011;13.83655602930381
20;19.38346318085839;-0.3228854165999213;9.97316488300679;19.516493649073606
21;19.415519741224138;-0.31278309211832767;10.112878776251328;19.5603112119741
22;19.43584686182919;-0.3104711672676299;10.243187376860877;19.594371526308507
23;19.460066992836815;-0.305565813470364;10.36948600766697;19.628574311062238
24;19.484839576816263;-0.29950897596413767;10.49261200135502;19.66490210447891
25;19.500326452602337;-0.3003772184871616;10.604912911060948;19.690772052043716
26;19.510522813535335;-0.3023029157874639;10.717521321654576;19.71140080546853
27;19.51841663576092;-0.30623414422193335;10.822736949158847;19.729412951064592
28;19.523365467846645;-0.3114653925720948;10.928179531471567;19.745442872795994
29;19.529627687645025;-0.313807245368088;11.033451825136714;19.761759734002037
30;19.535803217664437;-0.31635165560113593;11.133492928656235;19.77681987140027
31;19.541649396681407;-0.32010861045645134;11.232948474625799;19.791919515459774
